"","Country","Population","Region","ROL2016","ROL2012","happy2012","happy2016"
"1","Albania",3581655,"East",0.501828161586488,0.487519165343709,"4.959","4.644"
"2","Austria",8192880,"West",0.826004408786447,0.815017220919044,"7.200","7.006"
"3","Belarus",10293011,"East",0.52652248339093,0.517847887882629,"5.813","5.569"
"4","Belgium",10379067,"West",0.770866301776564,0.750844608242555,"6.937","6.891"
"5","Bulgaria",7385367,"West",0.540795574562371,0.540259633990071,"4.218","4.714"
"6","Croatia",4494749,"West",0.59425996521904,0.577579343220949,"5.759","5.293"
"7","Czech Republic",10235455,"West",0.713861528366047,0.671808708012989,"6.505","6.609"
"8","Denmark",5450661,"West",0.878646053815042,0.877178696192598,"7.527","7.522"
"9","Estonia",1324333,"West",0.775766283570811,0.761920015114492,"5.429","5.611"
"10","Finland",5231372,"West",0.851590655838916,0.853360026641534,"7.406","7.469"
"11","France",60876136,"West",0.733328107163999,0.753019715268873,"6.575","6.442"
"12","Georgia",4661473,"East",0.636000607279993,0.618547856587308,"4.297","4.286"
"13","Germany",82422299,"West",0.81258325547998,0.793114170468427,"6.75","6.951"
"14","Greece",10688058,"West",0.59826530795343,0.598523302255498,"4.857","5.227"
"15","Hungary",9981334,"West",0.584702066957571,0.629336317029808,"4.800","5.324"
"16","Italy",58133509,"West",0.63806497286877,0.63156755924593,"5.948","5.964"
"17","Kazakhstan",15233244,"East",0.487540258373072,0.464693535434031,"5.855","5.819"
"18","Kyrgyzstan",5213898,"East",0.464589346305496,0.452021518051291,"5.286","5.004"
"19","Moldova",4466706,"East",0.475015826972372,0.459161645408636,"5.889","5.838"
"20","Netherlands",16491461,"West",0.839864023503813,0.83982250687911,"7.378","7.377"
"21","Norway",4610820,"West",0.8736992245216,0.87220607057429,"7.522","7.537"
"22","Poland",38536869,"West",0.699418795874359,0.695240154367133,"5.791","5.973"
"23","Portugal",10605870,"West",0.690593127630446,0.663419496449469,"5.102","5.195"
"24","Romania",22303552,"West",0.623970787075191,0.599460025073416,"5.124","5.825"
"25","Russia",142893540,"East",0.456563604405475,0.436552208953052,"5.716","5.963"
"26","Serbia",9396411,"East",0.503486139006456,0.506393383938978,"5.123","5.395"
"27","Slovenia",2010347,"West",0.659983670778855,0.652938490118966,"5.848","5.758"
"28","Spain",40397842,"West",0.68403673331599,0.698882173766619,"6.329","6.403"
"29","Sweden",9016596,"West",0.854498716210945,0.871417925213198,"7.364","7.284"
"30","Turkey",70413958,"East",0.465414167374411,0.509634256823707,"5.332","5.500"
"31","Ukraine",46710816,"East",0.48074486259861,0.463864771539953,"4.681","4.096"
"32","United Kingdom",60609153,"West",0.791395727065379,0.780870846611218,"6.867","6.714"
"33","Uzbekistan",27307134,"East",0.453976705641841,0.441298758433281,"6.003","5.971"
